Id,Price
725,165064.7223725612
15856,223457.80059893875
5480,157671.93438350136
15664,332829.2355645577
14275,143300.99504232712
7633,215193.3508846825
13329,167989.60606709053
5502,222857.64689162935
4220,298012.7394398034
11538,213024.89326352574
15975,275907.94055775163
3310,222535.15782571424
9286,147107.57167750396
11260,170670.14354660446
5214,109417.22593658982
11307,181125.56794732605
13543,357898.362265427
615,172223.3291873335
3495,232569.97482026197
2321,247419.32333566417
12046,185299.1021797869
16688,140056.84154847809
12694,230440.56576705797
783,153318.73645008312
8968,167741.35003614152
13454,177427.96000325782
12190,288075.3067918228
11160,116308.1847084626
10291,206461.1258622216
891,278954.24425913487
2982,180357.74990474462
3818,253182.169883388
2449,195051.90850084572
8317,167236.22196390948
4922,181791.8297122278
1257,236774.025701545
9348,258651.71166295692
4176,191928.8440527718
10704,168482.91750583216
6624,118149.25042109603
5428,201651.16934732712
12749,174554.95045564332
8994,174953.24654447584
11513,150183.7002657691
3047,189560.2460757213
9519,202715.23514390545
12309,247037.6402197722
14081,263376.32035298995
8334,245378.6755080972
6343,186545.81611366547
14788,132172.22899890013
15748,334409.0442820811
153,244862.0463261035
14149,198852.17487706596
269,208639.70531572416
5452,131591.88753897714
721,161743.94545823892
5079,342404.71255749505
2831,102327.48262259818
10614,113463.44293169542
10131,272676.8589037915
9996,327206.161450937
3061,208383.9365915238
11733,324461.2441960426
3726,249347.57313314994
10929,222667.2848454473
9011,113516.66244567909
16182,258881.80855439356
4976,178979.11641733226
9897,244261.89801933596
1872,161683.8070726984
9205,333409.428895691
5403,401072.6848619718
14074,212237.50624431868
6268,155755.42508713668
14232,163462.41754177064
8532,236809.183684238
7034,345882.43219174864
6553,526902.9563131795
3133,175331.46385770637
8596,203118.6666371961
12389,241144.23866142027
14462,179550.6148199178
8860,334432.2389187294
8377,290014.40712062205
6367,319745.1811582024
6917,255516.8586206569
4216,196367.61682981858
5806,171788.85574924457
5438,192741.51267122422
6632,199523.13989827936
2650,151719.77750404642
5396,212289.40042617414
4044,145285.49842192512
1345,220417.09049371572
856,175488.5115256748
12791,257135.15615868455
12499,213826.92561128346
12249,128923.46314802201
14641,133616.22043682198
1919,155340.65637310522
7848,214004.6953690032
10749,183875.4180490951
15554,184330.91251896846
15834,202898.46775514868
1355,131595.5614000756
15451,177390.76170712148
12401,204741.8829749898
10290,172045.06265437484
9462,106841.03810259662
3103,233473.93594391723
3420,154030.11232303223
12262,235022.1002382887
5032,156808.2368867334
8949,300620.4370849709
15567,226438.3438231257
16389,161182.61267965508
7809,88334.99375005056
8990,148096.33622347264
16089,247212.09103401902
12743,105984.63779958995
5132,118870.14966301457
1619,272017.9339761068
2428,90071.08993659598
16741,162629.02575673393
13193,226292.5868496713
12588,537165.8245382291
5067,172677.1332330304
14685,124460.88954711381
2292,179040.4149342666
5746,118966.69871514052
12578,164168.95100389284
14834,181855.30639681837
2147,175470.53402611145
8222,128425.67941827116
10419,270449.39734924777
11492,223288.5847118121
3006,220603.88022601794
8761,192661.83252275147
15371,365596.6048726769
16367,160229.52732793143
6317,262868.9996718022
10878,272147.7854178155
